variant,exit_reason,count,share,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct
FIXEDTP_FIXED5_TP10_CAP3D,TARGET,1459,0.3714358452138493,FIXED_TP,FIXED5,3,0.1,,
FIXEDTP_FIXED5_TP10_CAP4D,STOP,2469,0.6285641547861507,FIXED_TP,FIXED5,4,0.1,,
FIXEDTP_FIXED5_TP10_CAP4D,TARGET,1459,0.3714358452138493,FIXED_TP,FIXED5,4,0.1,,
FIXEDTP_FIXED5_TP10_CAP5D,STOP,2469,0.6285641547861507,FIXED_TP,FIXED5,5,0.1,,
FIXEDTP_FIXED5_TP10_CAP5D,TARGET,1459,0.3714358452138493,FIXED_TP,FIXED5,5,0.1,,
FIXEDTP_FIXED5_TP10_CAP6D,STOP,2469,0.6285641547861507,FIXED_TP,FIXED5,6,0.1,,
FIXEDTP_FIXED5_TP10_CAP6D,TARGET,1459,0.3714358452138493,FIXED_TP,FIXED5,6,0.1,,
FIXEDTP_FIXED5_TP10_CAP7D,STOP,2469,0.6285641547861507,FIXED_TP,FIXED5,7,0.1,,
FIXEDTP_FIXED5_TP10_CAP7D,TARGET,1459,0.3714358452138493,FIXED_TP,FIXED5,7,0.1,,
FIXEDTP_FIXED5_TP20_CAP1D,STOP,2971,0.7579081632653061,FIXED_TP,FIXED5,1,0.2,,
FIXEDTP_FIXED5_TP20_CAP1D,TARGET,949,0.24209183673469387,FIXED_TP,FIXED5,1,0.2,,
FIXEDTP_FIXED5_TP20_CAP2D,STOP,2971,0.7579081632653061,FIXED_TP,FIXED5,2,0.2,,
FIXEDTP_FIXED5_TP20_CAP2D,TARGET,949,0.24209183673469387,FIXED_TP,FIXED5,2,0.2,,
FIXEDTP_FIXED5_TP20_CAP30D,STOP,2971,0.7579081632653061,FIXED_TP,FIXED5,30,0.2,,
FIXEDTP_FIXED5_TP20_CAP30D,TARGET,949,0.24209183673469387,FIXED_TP,FIXED5,30,0.2,,
FIXEDTP_FIXED5_TP20_CAP3D,STOP,2971,0.7579081632653061,FIXED_TP,FIXED5,3,0.2,,
FIXEDTP_FIXED5_TP20_CAP3D,TARGET,949,0.24209183673469387,FIXED_TP,FIXED5,3,0.2,,
FIXEDTP_FIXED5_TP20_CAP4D,STOP,2971,0.7579081632653061,FIXED_TP,FIXED5,4,0.2,,
FIXEDTP_FIXED5_TP20_CAP4D,TARGET,949,0.24209183673469387,FIXED_TP,FIXED5,4,0.2,,
FIXEDTP_FIXED5_TP20_CAP5D,STOP,2971,0.7579081632653061,FIXED_TP,FIXED5,5,0.2,,
FIXEDTP_FIXED5_TP20_CAP5D,TARGET,949,0.24209183673469387,FIXED_TP,FIXED5,5,0.2,,
FIXEDTP_FIXED5_TP20_CAP6D,STOP,2971,0.7579081632653061,FIXED_TP,FIXED5,6,0.2,,
FIXEDTP_FIXED5_TP20_CAP6D,TARGET,949,0.24209183673469387,FIXED_TP,FIXED5,6,0.2,,
FIXEDTP_FIXED5_TP20_CAP7D,STOP,2971,0.7579081632653061,FIXED_TP,FIXED5,7,0.2,,
FIXEDTP_FIXED5_TP20_CAP7D,TARGET,949,0.24209183673469387,FIXED_TP,FIXED5,7,0.2,,
FIXEDTP_FIXED7_TP10_CAP1D,STOP,2155,0.5490445859872611,FIXED_TP,FIXED7,1,0.1,,
FIXEDTP_FIXED7_TP10_CAP1D,TARGET,1770,0.45095541401273886,FIXED_TP,FIXED7,1,0.1,,
FIXEDTP_FIXED7_TP10_CAP2D,STOP,2155,0.5490445859872611,FIXED_TP,FIXED7,2,0.1,,
FIXEDTP_FIXED7_TP10_CAP2D,TARGET,1770,0.45095541401273886,FIXED_TP,FIXED7,2,0.1,,
FIXEDTP_FIXED7_TP10_CAP30D,STOP,2155,0.5490445859872611,FIXED_TP,FIXED7,30,0.1,,
FIXEDTP_FIXED7_TP10_CAP30D,TARGET,1770,0.45095541401273886,FIXED_TP,FIXED7,30,0.1,,
FIXEDTP_FIXED7_TP10_CAP3D,STOP,2155,0.5490445859872611,FIXED_TP,FIXED7,3,0.1,,
FIXEDTP_FIXED7_TP10_CAP3D,TARGET,1770,0.45095541401273886,FIXED_TP,FIXED7,3,0.1,,
FIXEDTP_FIXED7_TP10_CAP4D,STOP,2155,0.5490445859872611,FIXED_TP,FIXED7,4,0.1,,
FIXEDTP_FIXED7_TP10_CAP4D,TARGET,1770,0.45095541401273886,FIXED_TP,FIXED7,4,0.1,,
FIXEDTP_FIXED7_TP10_CAP5D,STOP,2155,0.5490445859872611,FIXED_TP,FIXED7,5,0.1,,
FIXEDTP_FIXED7_TP10_CAP5D,TARGET,1770,0.45095541401273886,FIXED_TP,FIXED7,5,0.1,,
FIXEDTP_FIXED7_TP10_CAP6D,STOP,2155,0.5490445859872611,FIXED_TP,FIXED7,6,0.1,,
FIXEDTP_FIXED7_TP10_CAP6D,TARGET,1770,0.45095541401273886,FIXED_TP,FIXED7,6,0.1,,
FIXEDTP_FIXED7_TP10_CAP7D,STOP,2155,0.5490445859872611,FIXED_TP,FIXED7,7,0.1,,
FIXEDTP_FIXED7_TP10_CAP7D,TARGET,1770,0.45095541401273886,FIXED_TP,FIXED7,7,0.1,,
FIXEDTP_FIXED7_TP20_CAP1D,STOP,2716,0.6942740286298569,FIXED_TP,FIXED7,1,0.2,,
FIXEDTP_FIXED7_TP20_CAP1D,TARGET,1196,0.3057259713701431,FIXED_TP,FIXED7,1,0.2,,
FIXEDTP_FIXED7_TP20_CAP2D,STOP,2716,0.6942740286298569,FIXED_TP,FIXED7,2,0.2,,
FIXEDTP_FIXED7_TP20_CAP2D,TARGET,1196,0.3057259713701431,FIXED_TP,FIXED7,2,0.2,,
