variant,year,trades,combined_pnl_usdt,mean_pnl_usdt,win_rate,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct
HALF_TP_RUNNER_FIXED5_PT10_GB30_CAP365D,2024,700,1794.8052869997466,2.564007552856781,0.36714285714285716,HALF_TP_RUNNER,FIXED5,365,,0.3,0.1
HALF_TP_RUNNER_FIXED5_PT20_GB30_CAP7D,2024,700,2370.5208855836113,3.3864584079765874,0.2357142857142857,HALF_TP_RUNNER,FIXED5,7,,0.3,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB30_CAP30D,2024,700,2370.5208855836113,3.3864584079765874,0.2357142857142857,HALF_TP_RUNNER,FIXED5,30,,0.3,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB30_CAP90D,2024,700,2370.5208855836113,3.3864584079765874,0.2357142857142857,HALF_TP_RUNNER,FIXED5,90,,0.3,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB30_CAP180D,2024,700,2370.5208855836113,3.3864584079765874,0.2357142857142857,HALF_TP_RUNNER,FIXED5,180,,0.3,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB30_CAP365D,2024,700,2370.5208855836113,3.3864584079765874,0.2357142857142857,HALF_TP_RUNNER,FIXED5,365,,0.3,0.2
FULL_TRAIL_FIXED5_GB40_CAP7D,2024,700,2680.3849433785135,3.8291213476835906,0.13,FULL_TRAIL,FIXED5,7,,0.4,
FULL_TRAIL_FIXED5_GB40_CAP30D,2024,700,2680.3849433785135,3.8291213476835906,0.13,FULL_TRAIL,FIXED5,30,,0.4,
FULL_TRAIL_FIXED5_GB40_CAP90D,2024,700,2680.3849433785135,3.8291213476835906,0.13,FULL_TRAIL,FIXED5,90,,0.4,
FULL_TRAIL_FIXED5_GB40_CAP180D,2024,700,2680.3849433785135,3.8291213476835906,0.13,FULL_TRAIL,FIXED5,180,,0.4,
FULL_TRAIL_FIXED5_GB40_CAP365D,2024,700,2680.3849433785135,3.8291213476835906,0.13,FULL_TRAIL,FIXED5,365,,0.4,
HALF_TP_RUNNER_FIXED5_PT10_GB40_CAP7D,2024,700,1663.761219169962,2.3768017416713745,0.36714285714285716,HALF_TP_RUNNER,FIXED5,7,,0.4,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB40_CAP30D,2024,700,1663.761219169962,2.3768017416713745,0.36714285714285716,HALF_TP_RUNNER,FIXED5,30,,0.4,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB40_CAP90D,2024,700,1663.761219169962,2.3768017416713745,0.36714285714285716,HALF_TP_RUNNER,FIXED5,90,,0.4,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB40_CAP180D,2024,700,1663.761219169962,2.3768017416713745,0.36714285714285716,HALF_TP_RUNNER,FIXED5,180,,0.4,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB40_CAP365D,2024,700,1663.761219169962,2.3768017416713745,0.36714285714285716,HALF_TP_RUNNER,FIXED5,365,,0.4,0.1
HALF_TP_RUNNER_FIXED5_PT20_GB40_CAP7D,2024,700,2278.2852436433177,3.2546932052047395,0.2357142857142857,HALF_TP_RUNNER,FIXED5,7,,0.4,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB40_CAP30D,2024,700,2278.2852436433177,3.2546932052047395,0.2357142857142857,HALF_TP_RUNNER,FIXED5,30,,0.4,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB40_CAP90D,2024,700,2278.2852436433177,3.2546932052047395,0.2357142857142857,HALF_TP_RUNNER,FIXED5,90,,0.4,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB40_CAP180D,2024,700,2278.2852436433177,3.2546932052047395,0.2357142857142857,HALF_TP_RUNNER,FIXED5,180,,0.4,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB40_CAP365D,2024,700,2278.2852436433177,3.2546932052047395,0.2357142857142857,HALF_TP_RUNNER,FIXED5,365,,0.4,0.2
FULL_TRAIL_FIXED5_GB50_CAP7D,2024,700,4597.783434015743,6.568262048593919,0.13,FULL_TRAIL,FIXED5,7,,0.5,
FULL_TRAIL_FIXED5_GB50_CAP30D,2024,700,4597.783434015743,6.568262048593919,0.13,FULL_TRAIL,FIXED5,30,,0.5,
FULL_TRAIL_FIXED5_GB50_CAP90D,2024,700,4597.783434015743,6.568262048593919,0.13,FULL_TRAIL,FIXED5,90,,0.5,
FULL_TRAIL_FIXED5_GB50_CAP180D,2024,700,4597.783434015743,6.568262048593919,0.13,FULL_TRAIL,FIXED5,180,,0.5,
FULL_TRAIL_FIXED5_GB50_CAP365D,2024,700,4597.783434015743,6.568262048593919,0.13,FULL_TRAIL,FIXED5,365,,0.5,
HALF_TP_RUNNER_FIXED5_PT10_GB50_CAP7D,2024,700,2531.675545664812,3.6166793509497315,0.36714285714285716,HALF_TP_RUNNER,FIXED5,7,,0.5,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB50_CAP30D,2024,700,2531.675545664812,3.6166793509497315,0.36714285714285716,HALF_TP_RUNNER,FIXED5,30,,0.5,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB50_CAP90D,2024,700,2531.675545664812,3.6166793509497315,0.36714285714285716,HALF_TP_RUNNER,FIXED5,90,,0.5,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB50_CAP180D,2024,700,2531.675545664812,3.6166793509497315,0.36714285714285716,HALF_TP_RUNNER,FIXED5,180,,0.5,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB50_CAP365D,2024,700,2531.675545664812,3.6166793509497315,0.36714285714285716,HALF_TP_RUNNER,FIXED5,365,,0.5,0.1
HALF_TP_RUNNER_FIXED5_PT20_GB50_CAP7D,2024,700,3226.9066651211765,4.609866664458823,0.2357142857142857,HALF_TP_RUNNER,FIXED5,7,,0.5,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB50_CAP30D,2024,700,3226.9066651211765,4.609866664458823,0.2357142857142857,HALF_TP_RUNNER,FIXED5,30,,0.5,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB50_CAP90D,2024,700,3226.9066651211765,4.609866664458823,0.2357142857142857,HALF_TP_RUNNER,FIXED5,90,,0.5,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB50_CAP180D,2024,700,3226.9066651211765,4.609866664458823,0.2357142857142857,HALF_TP_RUNNER,FIXED5,180,,0.5,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB50_CAP365D,2024,700,3226.9066651211765,4.609866664458823,0.2357142857142857,HALF_TP_RUNNER,FIXED5,365,,0.5,0.2
FULL_TRAIL_FIXED5_GB60_CAP7D,2024,700,5984.571506628567,8.549387866612237,0.13,FULL_TRAIL,FIXED5,7,,0.6,
FULL_TRAIL_FIXED5_GB60_CAP30D,2024,700,5984.571506628567,8.549387866612237,0.13,FULL_TRAIL,FIXED5,30,,0.6,
FULL_TRAIL_FIXED5_GB60_CAP90D,2024,700,5984.571506628567,8.549387866612237,0.13,FULL_TRAIL,FIXED5,90,,0.6,
FULL_TRAIL_FIXED5_GB60_CAP180D,2024,700,5984.571506628567,8.549387866612237,0.13,FULL_TRAIL,FIXED5,180,,0.6,
FULL_TRAIL_FIXED5_GB60_CAP365D,2024,700,5984.571506628567,8.549387866612237,0.13,FULL_TRAIL,FIXED5,365,,0.6,
HALF_TP_RUNNER_FIXED5_PT10_GB60_CAP7D,2024,700,3542.862414942179,5.06123202134597,0.36714285714285716,HALF_TP_RUNNER,FIXED5,7,,0.6,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB60_CAP30D,2024,700,3542.862414942179,5.06123202134597,0.36714285714285716,HALF_TP_RUNNER,FIXED5,30,,0.6,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB60_CAP90D,2024,700,3542.862414942179,5.06123202134597,0.36714285714285716,HALF_TP_RUNNER,FIXED5,90,,0.6,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB60_CAP180D,2024,700,3542.862414942179,5.06123202134597,0.36714285714285716,HALF_TP_RUNNER,FIXED5,180,,0.6,0.1
HALF_TP_RUNNER_FIXED5_PT10_GB60_CAP365D,2024,700,3542.862414942179,5.06123202134597,0.36714285714285716,HALF_TP_RUNNER,FIXED5,365,,0.6,0.1
HALF_TP_RUNNER_FIXED5_PT20_GB60_CAP7D,2024,700,4096.711121654418,5.852444459506311,0.2357142857142857,HALF_TP_RUNNER,FIXED5,7,,0.6,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB60_CAP30D,2024,700,4096.711121654418,5.852444459506311,0.2357142857142857,HALF_TP_RUNNER,FIXED5,30,,0.6,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB60_CAP90D,2024,700,4096.711121654418,5.852444459506311,0.2357142857142857,HALF_TP_RUNNER,FIXED5,90,,0.6,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB60_CAP180D,2024,700,4096.711121654418,5.852444459506311,0.2357142857142857,HALF_TP_RUNNER,FIXED5,180,,0.6,0.2
HALF_TP_RUNNER_FIXED5_PT20_GB60_CAP365D,2024,700,4096.711121654418,5.852444459506311,0.2357142857142857,HALF_TP_RUNNER,FIXED5,365,,0.6,0.2
FULL_TRAIL_FIXED7_GB30_CAP7D,2024,700,2763.0643874843913,3.947234839263416,0.14142857142857143,FULL_TRAIL,FIXED7,7,,0.3,
FULL_TRAIL_FIXED7_GB30_CAP30D,2024,700,2763.0643874843913,3.947234839263416,0.14142857142857143,FULL_TRAIL,FIXED7,30,,0.3,
FULL_TRAIL_FIXED7_GB30_CAP90D,2024,700,2763.0643874843913,3.947234839263416,0.14142857142857143,FULL_TRAIL,FIXED7,90,,0.3,
FULL_TRAIL_FIXED7_GB30_CAP180D,2024,700,2763.0643874843913,3.947234839263416,0.14142857142857143,FULL_TRAIL,FIXED7,180,,0.3,
FULL_TRAIL_FIXED7_GB30_CAP365D,2024,700,2763.0643874843913,3.947234839263416,0.14142857142857143,FULL_TRAIL,FIXED7,365,,0.3,
HALF_TP_RUNNER_FIXED7_PT10_GB30_CAP7D,2024,700,1887.206912958096,2.696009875654423,0.44571428571428573,HALF_TP_RUNNER,FIXED7,7,,0.3,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB30_CAP30D,2024,700,1887.206912958096,2.696009875654423,0.44571428571428573,HALF_TP_RUNNER,FIXED7,30,,0.3,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB30_CAP90D,2024,700,1887.206912958096,2.696009875654423,0.44571428571428573,HALF_TP_RUNNER,FIXED7,90,,0.3,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB30_CAP180D,2024,700,1887.206912958096,2.696009875654423,0.44571428571428573,HALF_TP_RUNNER,FIXED7,180,,0.3,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB30_CAP365D,2024,700,1887.206912958096,2.696009875654423,0.44571428571428573,HALF_TP_RUNNER,FIXED7,365,,0.3,0.1
HALF_TP_RUNNER_FIXED7_PT20_GB30_CAP7D,2024,700,2701.546351040014,3.859351930057163,0.2985714285714286,HALF_TP_RUNNER,FIXED7,7,,0.3,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB30_CAP30D,2024,700,2701.546351040014,3.859351930057163,0.2985714285714286,HALF_TP_RUNNER,FIXED7,30,,0.3,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB30_CAP90D,2024,700,2701.546351040014,3.859351930057163,0.2985714285714286,HALF_TP_RUNNER,FIXED7,90,,0.3,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB30_CAP180D,2024,700,2701.546351040014,3.859351930057163,0.2985714285714286,HALF_TP_RUNNER,FIXED7,180,,0.3,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB30_CAP365D,2024,700,2701.546351040014,3.859351930057163,0.2985714285714286,HALF_TP_RUNNER,FIXED7,365,,0.3,0.2
FULL_TRAIL_FIXED7_GB40_CAP7D,2024,700,2564.4917315700277,3.663559616528611,0.14142857142857143,FULL_TRAIL,FIXED7,7,,0.4,
FULL_TRAIL_FIXED7_GB40_CAP30D,2024,700,2564.4917315700277,3.663559616528611,0.14142857142857143,FULL_TRAIL,FIXED7,30,,0.4,
FULL_TRAIL_FIXED7_GB40_CAP90D,2024,700,2564.4917315700277,3.663559616528611,0.14142857142857143,FULL_TRAIL,FIXED7,90,,0.4,
FULL_TRAIL_FIXED7_GB40_CAP180D,2024,700,2564.4917315700277,3.663559616528611,0.14142857142857143,FULL_TRAIL,FIXED7,180,,0.4,
FULL_TRAIL_FIXED7_GB40_CAP365D,2024,700,2564.4917315700277,3.663559616528611,0.14142857142857143,FULL_TRAIL,FIXED7,365,,0.4,
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP7D,2024,700,1646.2507072771184,2.3517867246815976,0.44571428571428573,HALF_TP_RUNNER,FIXED7,7,,0.4,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP30D,2024,700,1646.2507072771184,2.3517867246815976,0.44571428571428573,HALF_TP_RUNNER,FIXED7,30,,0.4,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP90D,2024,700,1646.2507072771184,2.3517867246815976,0.44571428571428573,HALF_TP_RUNNER,FIXED7,90,,0.4,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP180D,2024,700,1646.2507072771184,2.3517867246815976,0.44571428571428573,HALF_TP_RUNNER,FIXED7,180,,0.4,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB40_CAP365D,2024,700,1646.2507072771184,2.3517867246815976,0.44571428571428573,HALF_TP_RUNNER,FIXED7,365,,0.4,0.1
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP7D,2024,700,2435.7874474922833,3.4796963535604046,0.2985714285714286,HALF_TP_RUNNER,FIXED7,7,,0.4,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP30D,2024,700,2435.7874474922833,3.4796963535604046,0.2985714285714286,HALF_TP_RUNNER,FIXED7,30,,0.4,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP90D,2024,700,2435.7874474922833,3.4796963535604046,0.2985714285714286,HALF_TP_RUNNER,FIXED7,90,,0.4,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP180D,2024,700,2435.7874474922833,3.4796963535604046,0.2985714285714286,HALF_TP_RUNNER,FIXED7,180,,0.4,0.2
HALF_TP_RUNNER_FIXED7_PT20_GB40_CAP365D,2024,700,2435.7874474922833,3.4796963535604046,0.2985714285714286,HALF_TP_RUNNER,FIXED7,365,,0.4,0.2
FULL_TRAIL_FIXED7_GB50_CAP7D,2024,700,4420.1822545792475,6.314546077970354,0.14142857142857143,FULL_TRAIL,FIXED7,7,,0.5,
FULL_TRAIL_FIXED7_GB50_CAP30D,2024,700,4420.1822545792475,6.314546077970354,0.14142857142857143,FULL_TRAIL,FIXED7,30,,0.5,
FULL_TRAIL_FIXED7_GB50_CAP90D,2024,700,4420.1822545792475,6.314546077970354,0.14142857142857143,FULL_TRAIL,FIXED7,90,,0.5,
FULL_TRAIL_FIXED7_GB50_CAP180D,2024,700,4420.1822545792475,6.314546077970354,0.14142857142857143,FULL_TRAIL,FIXED7,180,,0.5,
FULL_TRAIL_FIXED7_GB50_CAP365D,2024,700,4420.1822545792475,6.314546077970354,0.14142857142857143,FULL_TRAIL,FIXED7,365,,0.5,
HALF_TP_RUNNER_FIXED7_PT10_GB50_CAP7D,2024,700,2441.720874012884,3.4881726771612627,0.44571428571428573,HALF_TP_RUNNER,FIXED7,7,,0.5,0.1
HALF_TP_RUNNER_FIXED7_PT10_GB50_CAP30D,2024,700,2441.720874012884,3.4881726771612627,0.44571428571428573,HALF_TP_RUNNER,FIXED7,30,,0.5,0.1
