variant,trades,combined_pnl_usdt,mean_pnl_usdt,median_pnl_usdt,profit_factor,win_rate,median_duration_hours,p10_pnl_usdt,p90_pnl_usdt,family,stop_mode,cap_days,take_profit_pct,trail_giveback_pct,partial_take_profit_pct,positive_years,years_tested,worst_year_pnl_usdt,best_year_pnl_usdt,leader_metric,leader_rank
FIXEDTP_FIXED10_TP20_CAP3D,3905.0,15524.12499000007,3.975448140845088,-30.704864999999934,1.210838908731819,0.38591549295774646,200.0,-30.70486499999999,59.160180000000054,FIXED_TP,FIXED10,3,0.2,,,5,8,-2048.140649999986,7754.569785000012,mean_pnl,3
FIXEDTP_FIXED10_TP20_CAP4D,3905.0,15524.12499000007,3.975448140845088,-30.704864999999934,1.210838908731819,0.38591549295774646,200.0,-30.70486499999999,59.160180000000054,FIXED_TP,FIXED10,4,0.2,,,5,8,-2048.140649999986,7754.569785000012,mean_pnl,4
FIXEDTP_FIXED10_TP20_CAP5D,3905.0,15524.12499000007,3.975448140845088,-30.704864999999934,1.210838908731819,0.38591549295774646,200.0,-30.70486499999999,59.160180000000054,FIXED_TP,FIXED10,5,0.2,,,5,8,-2048.140649999986,7754.569785000012,mean_pnl,5
FIXEDTP_FIXED10_TP20_CAP6D,3905.0,15524.12499000007,3.975448140845088,-30.704864999999934,1.210838908731819,0.38591549295774646,200.0,-30.70486499999999,59.160180000000054,FIXED_TP,FIXED10,6,0.2,,,5,8,-2048.140649999986,7754.569785000012,mean_pnl,6
FIXEDTP_FIXED10_TP20_CAP7D,3905.0,15524.12499000007,3.975448140845088,-30.704864999999934,1.210838908731819,0.38591549295774646,200.0,-30.70486499999999,59.160180000000054,FIXED_TP,FIXED10,7,0.2,,,5,8,-2048.140649999986,7754.569785000012,mean_pnl,7
FIXEDTP_FIXED10_TP20_CAP30D,3905.0,15524.12499000007,3.975448140845088,-30.704864999999934,1.210838908731819,0.38591549295774646,200.0,-30.70486499999999,59.160180000000054,FIXED_TP,FIXED10,30,0.2,,,5,8,-2048.140649999986,7754.569785000012,mean_pnl,8
FIXEDTP_STRUCT_CAP10_TP20_CAP1D,3924.0,12305.950618709965,3.1360730424847008,-20.0639599490952,1.1892745482713882,0.3330784913353721,155.0,-30.70486499999999,59.160180000000054,FIXED_TP,STRUCT_CAP10,1,0.2,,,5,8,-2204.948869403009,7242.994420730942,mean_pnl,9
FIXEDTP_STRUCT_CAP10_TP20_CAP2D,3924.0,12305.950618709965,3.1360730424847008,-20.0639599490952,1.1892745482713882,0.3330784913353721,155.0,-30.70486499999999,59.160180000000054,FIXED_TP,STRUCT_CAP10,2,0.2,,,5,8,-2204.948869403009,7242.994420730942,mean_pnl,10
FULL_TRAIL_FIXED5_GB60_CAP7D,3898.0,24317.77982950058,6.238527406234115,-0.7498500000000341,1.7899196726382967,0.11646998460749101,68.0,-15.727357500000041,39.08707225044785,FULL_TRAIL,FIXED5,7,,0.6,,5,8,-2597.860645707677,14236.45016272158,profit_factor,1
FULL_TRAIL_FIXED5_GB60_CAP30D,3898.0,24317.77982950058,6.238527406234115,-0.7498500000000341,1.7899196726382967,0.11646998460749101,68.0,-15.727357500000041,39.08707225044785,FULL_TRAIL,FIXED5,30,,0.6,,5,8,-2597.860645707677,14236.45016272158,profit_factor,2
FULL_TRAIL_FIXED5_GB60_CAP90D,3898.0,24317.77982950058,6.238527406234115,-0.7498500000000341,1.7899196726382967,0.11646998460749101,68.0,-15.727357500000041,39.08707225044785,FULL_TRAIL,FIXED5,90,,0.6,,5,8,-2597.860645707677,14236.45016272158,profit_factor,3
FULL_TRAIL_FIXED5_GB60_CAP180D,3898.0,24317.77982950058,6.238527406234115,-0.7498500000000341,1.7899196726382967,0.11646998460749101,68.0,-15.727357500000041,39.08707225044785,FULL_TRAIL,FIXED5,180,,0.6,,5,8,-2597.860645707677,14236.45016272158,profit_factor,4
FULL_TRAIL_FIXED5_GB60_CAP365D,3898.0,24317.77982950058,6.238527406234115,-0.7498500000000341,1.7899196726382967,0.11646998460749101,68.0,-15.727357500000041,39.08707225044785,FULL_TRAIL,FIXED5,365,,0.6,,5,8,-2597.860645707677,14236.45016272158,profit_factor,5
FULL_TRAIL_FIXED7_GB60_CAP7D,3892.0,25646.548582291995,6.589555134196298,-0.7498499999999773,1.7247316136693223,0.13309352517985612,98.0,-21.7183605,43.25158668061512,FULL_TRAIL,FIXED7,7,,0.6,,5,8,-2830.5834502487137,14712.868761861748,profit_factor,6
FULL_TRAIL_FIXED7_GB60_CAP30D,3892.0,25646.548582291995,6.589555134196298,-0.7498499999999773,1.7247316136693223,0.13309352517985612,98.0,-21.7183605,43.25158668061512,FULL_TRAIL,FIXED7,30,,0.6,,5,8,-2830.5834502487137,14712.868761861748,profit_factor,7
FULL_TRAIL_FIXED7_GB60_CAP90D,3892.0,25646.548582291995,6.589555134196298,-0.7498499999999773,1.7247316136693223,0.13309352517985612,98.0,-21.7183605,43.25158668061512,FULL_TRAIL,FIXED7,90,,0.6,,5,8,-2830.5834502487137,14712.868761861748,profit_factor,8
FULL_TRAIL_FIXED7_GB60_CAP180D,3892.0,25646.548582291995,6.589555134196298,-0.7498499999999773,1.7247316136693223,0.13309352517985612,98.0,-21.7183605,43.25158668061512,FULL_TRAIL,FIXED7,180,,0.6,,5,8,-2830.5834502487137,14712.868761861748,profit_factor,9
FULL_TRAIL_FIXED7_GB60_CAP365D,3892.0,25646.548582291995,6.589555134196298,-0.7498499999999773,1.7247316136693223,0.13309352517985612,98.0,-21.7183605,43.25158668061512,FULL_TRAIL,FIXED7,365,,0.6,,5,8,-2830.5834502487137,14712.868761861748,profit_factor,10
FULL_TRAIL_FIXED10_GB60_CAP7D,3886.0,27384.071184621516,7.046853109784229,-0.7498499999999773,1.6770490223811871,0.1546577457539887,139.0,-30.70486499999999,46.85175105420235,FULL_TRAIL,FIXED10,7,,0.6,,5,8,-3013.173749457761,16240.325424143075,mean_pnl,1
FULL_TRAIL_FIXED10_GB60_CAP30D,3886.0,27384.071184621516,7.046853109784229,-0.7498499999999773,1.6770490223811871,0.1546577457539887,139.0,-30.70486499999999,46.85175105420235,FULL_TRAIL,FIXED10,30,,0.6,,5,8,-3013.173749457761,16240.325424143075,mean_pnl,2
FULL_TRAIL_FIXED10_GB60_CAP90D,3886.0,27384.071184621516,7.046853109784229,-0.7498499999999773,1.6770490223811871,0.1546577457539887,139.0,-30.70486499999999,46.85175105420235,FULL_TRAIL,FIXED10,90,,0.6,,5,8,-3013.173749457761,16240.325424143075,mean_pnl,3
FULL_TRAIL_FIXED10_GB60_CAP180D,3886.0,27384.071184621516,7.046853109784229,-0.7498499999999773,1.6770490223811871,0.1546577457539887,139.0,-30.70486499999999,46.85175105420235,FULL_TRAIL,FIXED10,180,,0.6,,5,8,-3013.173749457761,16240.325424143075,mean_pnl,4
FULL_TRAIL_FIXED10_GB60_CAP365D,3886.0,27384.071184621516,7.046853109784229,-0.7498499999999773,1.6770490223811871,0.1546577457539887,139.0,-30.70486499999999,46.85175105420235,FULL_TRAIL,FIXED10,365,,0.6,,5,8,-3013.173749457761,16240.325424143075,mean_pnl,5
FULL_TRAIL_STRUCT_CAP10_GB60_CAP7D,3903.0,26045.402706955487,6.673175174725976,-0.7498499999999773,1.7095839705288658,0.13681783243658724,112.0,-30.70486499999999,43.86833248579311,FULL_TRAIL,STRUCT_CAP10,7,,0.6,,5,8,-3238.25577247079,16131.736307970363,mean_pnl,6
FULL_TRAIL_STRUCT_CAP10_GB60_CAP30D,3903.0,26045.402706955487,6.673175174725976,-0.7498499999999773,1.7095839705288658,0.13681783243658724,112.0,-30.70486499999999,43.86833248579311,FULL_TRAIL,STRUCT_CAP10,30,,0.6,,5,8,-3238.25577247079,16131.736307970363,mean_pnl,7
FULL_TRAIL_STRUCT_CAP10_GB60_CAP90D,3903.0,26045.402706955487,6.673175174725976,-0.7498499999999773,1.7095839705288658,0.13681783243658724,112.0,-30.70486499999999,43.86833248579311,FULL_TRAIL,STRUCT_CAP10,90,,0.6,,5,8,-3238.25577247079,16131.736307970363,mean_pnl,8
FULL_TRAIL_STRUCT_CAP10_GB60_CAP180D,3903.0,26045.402706955487,6.673175174725976,-0.7498499999999773,1.7095839705288658,0.13681783243658724,112.0,-30.70486499999999,43.86833248579311,FULL_TRAIL,STRUCT_CAP10,180,,0.6,,5,8,-3238.25577247079,16131.736307970363,mean_pnl,9
FULL_TRAIL_STRUCT_CAP10_GB60_CAP365D,3903.0,26045.402706955487,6.673175174725976,-0.7498499999999773,1.7095839705288658,0.13681783243658724,112.0,-30.70486499999999,43.86833248579311,FULL_TRAIL,STRUCT_CAP10,365,,0.6,,5,8,-3238.25577247079,16131.736307970363,mean_pnl,10
HALF_TP_RUNNER_FIXED10_PT20_GB60_CAP7D,3847.0,32725.80994877554,8.506839082083582,-30.704864999999934,1.4444613826163684,0.37665713543020535,285.0,-30.70486499999999,64.64697981044175,HALF_TP_RUNNER,FIXED10,7,,0.6,0.2,5,8,-4905.920696113108,16595.75038121091,profit_factor,1
HALF_TP_RUNNER_FIXED10_PT20_GB60_CAP30D,3847.0,32725.80994877554,8.506839082083582,-30.704864999999934,1.4444613826163684,0.37665713543020535,285.0,-30.70486499999999,64.64697981044175,HALF_TP_RUNNER,FIXED10,30,,0.6,0.2,5,8,-4905.920696113108,16595.75038121091,profit_factor,2
HALF_TP_RUNNER_FIXED10_PT20_GB60_CAP90D,3847.0,32725.80994877554,8.506839082083582,-30.704864999999934,1.4444613826163684,0.37665713543020535,285.0,-30.70486499999999,64.64697981044175,HALF_TP_RUNNER,FIXED10,90,,0.6,0.2,5,8,-4905.920696113108,16595.75038121091,profit_factor,3
HALF_TP_RUNNER_FIXED10_PT20_GB60_CAP180D,3847.0,32725.80994877554,8.506839082083582,-30.704864999999934,1.4444613826163684,0.37665713543020535,285.0,-30.70486499999999,64.64697981044175,HALF_TP_RUNNER,FIXED10,180,,0.6,0.2,5,8,-4905.920696113108,16595.75038121091,profit_factor,4
HALF_TP_RUNNER_FIXED10_PT20_GB60_CAP365D,3847.0,32725.80994877554,8.506839082083582,-30.704864999999934,1.4444613826163684,0.37665713543020535,285.0,-30.70486499999999,64.64697981044175,HALF_TP_RUNNER,FIXED10,365,,0.6,0.2,5,8,-4905.920696113108,16595.75038121091,profit_factor,5
HALF_TP_RUNNER_FIXED10_PT10_GB60_CAP7D,3870.0,23334.621915134972,6.02961806592635,14.227657500000001,1.4166474635253987,0.5286821705426357,221.0,-30.70486499999999,44.57190698219567,HALF_TP_RUNNER,FIXED10,7,,0.6,0.1,5,8,-2994.3669973016026,13541.400892430533,profit_factor,6
HALF_TP_RUNNER_FIXED10_PT10_GB60_CAP30D,3870.0,23334.621915134972,6.02961806592635,14.227657500000001,1.4166474635253987,0.5286821705426357,221.0,-30.70486499999999,44.57190698219567,HALF_TP_RUNNER,FIXED10,30,,0.6,0.1,5,8,-2994.3669973016026,13541.400892430533,profit_factor,7
HALF_TP_RUNNER_FIXED10_PT10_GB60_CAP90D,3870.0,23334.621915134972,6.02961806592635,14.227657500000001,1.4166474635253987,0.5286821705426357,221.0,-30.70486499999999,44.57190698219567,HALF_TP_RUNNER,FIXED10,90,,0.6,0.1,5,8,-2994.3669973016026,13541.400892430533,profit_factor,8
HALF_TP_RUNNER_FIXED10_PT10_GB60_CAP180D,3870.0,23334.621915134972,6.02961806592635,14.227657500000001,1.4166474635253987,0.5286821705426357,221.0,-30.70486499999999,44.57190698219567,HALF_TP_RUNNER,FIXED10,180,,0.6,0.1,5,8,-2994.3669973016026,13541.400892430533,profit_factor,9
HALF_TP_RUNNER_FIXED10_PT10_GB60_CAP365D,3870.0,23334.621915134972,6.02961806592635,14.227657500000001,1.4166474635253987,0.5286821705426357,221.0,-30.70486499999999,44.57190698219567,HALF_TP_RUNNER,FIXED10,365,,0.6,0.1,5,8,-2994.3669973016026,13541.400892430533,profit_factor,10
HALF_TP_RUNNER_FIXED10_PT20_GB60_CAP7D,3847.0,32725.80994877554,8.506839082083582,-30.704864999999934,1.4444613826163684,0.37665713543020535,285.0,-30.70486499999999,64.64697981044175,HALF_TP_RUNNER,FIXED10,7,,0.6,0.2,5,8,-4905.920696113108,16595.75038121091,mean_pnl,1
HALF_TP_RUNNER_FIXED10_PT20_GB60_CAP30D,3847.0,32725.80994877554,8.506839082083582,-30.704864999999934,1.4444613826163684,0.37665713543020535,285.0,-30.70486499999999,64.64697981044175,HALF_TP_RUNNER,FIXED10,30,,0.6,0.2,5,8,-4905.920696113108,16595.75038121091,mean_pnl,2
HALF_TP_RUNNER_FIXED10_PT20_GB60_CAP90D,3847.0,32725.80994877554,8.506839082083582,-30.704864999999934,1.4444613826163684,0.37665713543020535,285.0,-30.70486499999999,64.64697981044175,HALF_TP_RUNNER,FIXED10,90,,0.6,0.2,5,8,-4905.920696113108,16595.75038121091,mean_pnl,3
HALF_TP_RUNNER_FIXED10_PT20_GB60_CAP180D,3847.0,32725.80994877554,8.506839082083582,-30.704864999999934,1.4444613826163684,0.37665713543020535,285.0,-30.70486499999999,64.64697981044175,HALF_TP_RUNNER,FIXED10,180,,0.6,0.2,5,8,-4905.920696113108,16595.75038121091,mean_pnl,4
HALF_TP_RUNNER_FIXED10_PT20_GB60_CAP365D,3847.0,32725.80994877554,8.506839082083582,-30.704864999999934,1.4444613826163684,0.37665713543020535,285.0,-30.70486499999999,64.64697981044175,HALF_TP_RUNNER,FIXED10,365,,0.6,0.2,5,8,-4905.920696113108,16595.75038121091,mean_pnl,5
HALF_TP_RUNNER_STRUCT_CAP10_PT20_GB60_CAP7D,3884.0,24954.11732006276,6.424849979418836,-20.22816073832115,1.3838126309466074,0.3262100926879506,220.0,-30.70486499999999,61.7737872785676,HALF_TP_RUNNER,STRUCT_CAP10,7,,0.6,0.2,5,8,-4462.901845102829,13797.817416653379,mean_pnl,6
HALF_TP_RUNNER_STRUCT_CAP10_PT20_GB60_CAP30D,3884.0,24954.11732006276,6.424849979418836,-20.22816073832115,1.3838126309466074,0.3262100926879506,220.0,-30.70486499999999,61.7737872785676,HALF_TP_RUNNER,STRUCT_CAP10,30,,0.6,0.2,5,8,-4462.901845102829,13797.817416653379,mean_pnl,7
